Anio;Mes;Mes_Num;Key;Variacion;Variacion_unidad;IPCS_Update
2018;Enero;1;201801;0,63;1,0063;1,031721443
2018;Febrero;2;201802;0,71;1,0071;1,025262291
2018;Marzo;3;201803;0,24;1,0024;1,018034248
2018;Abril;4;201804;0,46;1,0046;1,015596815
2018;Mayo;5;201805;0,25;1,0025;1,010946462
2018;Junio;6;201806;0,15;1,0015;1,008425398
2018;Julio;7;201807;-0,13;0,9987;1,006915025
2018;Agosto;8;201808;0,12;1,0012;1,008225719
2018;Septiembre;9;201809;0,16;1,0016;1,007017298
2018;Octubre;10;201810;0,12;1,0012;1,005408644
2018;Noviembre;11;201811;0,12;1,0012;1,0042036
2018;Diciembre;12;201812;0,3;1,003;1,003
2019;Enero;1;201901;0,6;1;1
